"","year","date","lynx_value","settlement_mechanism","ma_value","day"
"1",2022,2022-07-04,328.139148882,"LSM",433.7961528144,2022-07-04
"2",2022,2022-07-04,0,"RTM",-0.00000000000000000278097857242532,2022-07-04
"3",2022,2022-07-04,1.894634205,"UPM",0.8226468058,2022-07-04
"4",2022,2022-07-05,495.687087782,"LSM",442.6392207836,2022-07-05
"5",2022,2022-07-05,0.204201475,"RTM",0.040840295,2022-07-05
"6",2022,2022-07-05,3.033565437,"UPM",1.2849720318,2022-07-05
"7",2022,2022-07-06,443.889138445,"LSM",445.5890825378,2022-07-06
"8",2022,2022-07-06,0.1,"RTM",0.060840295,2022-07-06
"9",2022,2022-07-06,4.678089237,"UPM",2.1360160604,2022-07-06
"10",2022,2022-07-07,427.968708082,"LSM",445.926994553,2022-07-07
"11",2022,2022-07-07,0.00400881,"RTM",0.061642057,2022-07-07
"12",2022,2022-07-07,1.146775806,"UPM",2.281091522,2022-07-07
"13",2022,2022-07-08,389.72316716,"LSM",417.0814500702,2022-07-08
"14",2022,2022-07-08,0,"RTM",0.061642057,2022-07-08
"15",2022,2022-07-08,0.32459184,"UPM",2.215531305,2022-07-08
"16",2022,2022-07-11,403.655102259,"LSM",432.1846407456,2022-07-11
"17",2022,2022-07-11,0.001792571,"RTM",0.0620005712,2022-07-11
"18",2022,2022-07-11,0.403582602,"UPM",1.9173209844,2022-07-11
"19",2022,2022-07-12,377.892224944,"LSM",408.625668178,2022-07-12
"20",2022,2022-07-12,0,"RTM",0.0211602762,2022-07-12
"21",2022,2022-07-12,0.681487396,"UPM",1.4469053762,2022-07-12
"22",2022,2022-07-13,387.293903599,"LSM",397.3066212088,2022-07-13
"23",2022,2022-07-13,0,"RTM",0.0011602762,2022-07-13
"24",2022,2022-07-13,1.650473737,"UPM",0.8413822762,2022-07-13
"25",2022,2022-07-14,408.161493871,"LSM",393.3451783666,2022-07-14
"26",2022,2022-07-14,0,"RTM",0.000358514199999997,2022-07-14
"27",2022,2022-07-14,0.233835752,"UPM",0.6587942654,2022-07-14
"28",2022,2022-07-15,474.733173335,"LSM",410.3471796016,2022-07-15
"29",2022,2022-07-15,0.000000093,"RTM",0.000358532799999997,2022-07-15
"30",2022,2022-07-15,0.54789563,"UPM",0.7034550234,2022-07-15
"31",2022,2022-07-18,391.768485922,"LSM",407.9698563342,2022-07-18
"32",2022,2022-07-18,0,"RTM",0.000000018599999997219,2022-07-18
"33",2022,2022-07-18,0.543453916,"UPM",0.7314292862,2022-07-18
"34",2022,2022-07-19,396.453823291,"LSM",411.6821760036,2022-07-19
"35",2022,2022-07-19,0,"RTM",0.000000018599999997219,2022-07-19
"36",2022,2022-07-19,0.508864765,"UPM",0.69690476,2022-07-19
"37",2022,2022-07-20,393.503621876,"LSM",412.924119659,2022-07-20
"38",2022,2022-07-20,0,"RTM",0.000000018599999997219,2022-07-20
"39",2022,2022-07-20,1.011724984,"UPM",0.5691550094,2022-07-20
"40",2022,2022-07-21,408.200635942,"LSM",412.9319480732,2022-07-21
"41",2022,2022-07-21,0,"RTM",0.000000018599999997219,2022-07-21
"42",2022,2022-07-21,2.195140509,"UPM",0.9614159608,2022-07-21
"43",2022,2022-07-22,376.075587769,"LSM",393.20043096,2022-07-22
"44",2022,2022-07-22,0,"RTM",-0.00000000000000000278097857242532,2022-07-22
"45",2022,2022-07-22,0.21935492,"UPM",0.8957078188,2022-07-22
"46",2022,2022-07-25,430.039771075,"LSM",400.8546879906,2022-07-25
"47",2022,2022-07-25,0,"RTM",-0.00000000000000000278097857242532,2022-07-25
"48",2022,2022-07-25,1.467495965,"UPM",1.0805162286,2022-07-25
"49",2022,2022-07-26,364.04014216,"LSM",394.3719517644,2022-07-26
"50",2022,2022-07-26,0,"RTM",-0.00000000000000000278097857242532,2022-07-26
"51",2022,2022-07-26,0.606069442,"UPM",1.099957164,2022-07-26
"52",2022,2022-07-27,381.697072978,"LSM",392.0106419848,2022-07-27
"53",2022,2022-07-27,0,"RTM",-0.00000000000000000278097857242532,2022-07-27
"54",2022,2022-07-27,2.338536014,"UPM",1.36531937,2022-07-27
"55",2022,2022-07-28,411.556946655,"LSM",392.6819041274,2022-07-28
"56",2022,2022-07-28,0.006593966,"RTM",0.0013187932,2022-07-28
"57",2022,2022-07-28,0.277813129,"UPM",0.981853894,2022-07-28
"58",2022,2022-07-29,482.926804465,"LSM",414.0521474666,2022-07-29
"59",2022,2022-07-29,0,"RTM",0.0013187932,2022-07-29
"60",2022,2022-07-29,1.037111972,"UPM",1.1454053044,2022-07-29
"61",2022,2022-08-01,205.024836602,"LSM",369.049160572,2022-08-01
"62",2022,2022-08-01,0,"RTM",0.0013187932,2022-08-01
"63",2022,2022-08-01,0.768629669,"UPM",1.0056320452,2022-08-01
"64",2022,2022-08-02,453.697858044,"LSM",386.9807037488,2022-08-02
"65",2022,2022-08-02,0.87034,"RTM",0.1753867932,2022-08-02
"66",2022,2022-08-02,1.459181783,"UPM",1.1762545134,2022-08-02
"67",2022,2022-08-03,408.053752718,"LSM",392.2520396968,2022-08-03
"68",2022,2022-08-03,0,"RTM",0.1753867932,2022-08-03
"69",2022,2022-08-03,0.578685462,"UPM",0.824284403,2022-08-03
"70",2022,2022-08-04,391.192283678,"LSM",388.1791071014,2022-08-04
"71",2022,2022-08-04,0,"RTM",0.174068,2022-08-04
"72",2022,2022-08-04,1.266314843,"UPM",1.0219847458,2022-08-04
"73",2022,2022-08-05,397.742248933,"LSM",371.142195995,2022-08-05
"74",2022,2022-08-05,0,"RTM",0.174068,2022-08-05
"75",2022,2022-08-05,0.598976286,"UPM",0.9343576086,2022-08-05
"76",2022,2022-08-08,376.789441054,"LSM",405.4951168854,2022-08-08
"77",2022,2022-08-08,0,"RTM",0.174068,2022-08-08
"78",2022,2022-08-08,0.250545662,"UPM",0.8307408072,2022-08-08
"79",2022,2022-08-09,376.057743106,"LSM",389.9670938978,2022-08-09
"80",2022,2022-08-09,0,"RTM",-0.00000000000000000277555756156289,2022-08-09
"81",2022,2022-08-09,0.911966004,"UPM",0.7212976514,2022-08-09
"82",2022,2022-08-10,377.151007353,"LSM",383.7865448248,2022-08-10
"83",2022,2022-08-10,0.5,"RTM",0.1,2022-08-10
"84",2022,2022-08-10,0.401380799,"UPM",0.6858367188,2022-08-10
"85",2022,2022-08-11,385.144253456,"LSM",382.5769387804,2022-08-11
"86",2022,2022-08-11,0,"RTM",0.1,2022-08-11
"87",2022,2022-08-11,0.825728867,"UPM",0.5977195236,2022-08-11
"88",2022,2022-08-12,402.951996694,"LSM",383.6188883326,2022-08-12
"89",2022,2022-08-12,0,"RTM",0.1,2022-08-12
"90",2022,2022-08-12,0.625743547,"UPM",0.6030729758,2022-08-12
"91",2022,2022-08-15,435.990334246,"LSM",395.459066971,2022-08-15
"92",2022,2022-08-15,0,"RTM",0.1,2022-08-15
"93",2022,2022-08-15,0.389798044,"UPM",0.6309234522,2022-08-15
"94",2022,2022-08-16,392.638991186,"LSM",398.775316587,2022-08-16
"95",2022,2022-08-16,0,"RTM",0.1,2022-08-16
"96",2022,2022-08-16,0.340272253,"UPM",0.516584702,2022-08-16
"97",2022,2022-08-17,385.860807891,"LSM",400.5172766946,2022-08-17
"98",2022,2022-08-17,0,"RTM",-0.00000000000000000277555756156289,2022-08-17
"99",2022,2022-08-17,0.976081293,"UPM",0.6315248008,2022-08-17
"100",2022,2022-08-18,399.456795266,"LSM",403.3797850566,2022-08-18
"101",2022,2022-08-18,0.000040648,"RTM",0.00000812959999999722,2022-08-18
"102",2022,2022-08-18,1.097419529,"UPM",0.6858629332,2022-08-18
"103",2022,2022-08-19,394.776089551,"LSM",401.744603628,2022-08-19
"104",2022,2022-08-19,0,"RTM",0.00000812959999999722,2022-08-19
"105",2022,2022-08-19,0.144003983,"UPM",0.5895150204,2022-08-19
"106",2022,2022-08-22,407.408542912,"LSM",396.0282453612,2022-08-22
"107",2022,2022-08-22,0.000040648,"RTM",0.0000162591999999972,2022-08-22
"108",2022,2022-08-22,0.938262493,"UPM",0.6992079102,2022-08-22
"109",2022,2022-08-23,370.902429988,"LSM",391.6809331216,2022-08-23
"110",2022,2022-08-23,0,"RTM",0.0000162591999999972,2022-08-23
"111",2022,2022-08-23,0.420016518,"UPM",0.7151567632,2022-08-23
"112",2022,2022-08-24,398.905088977,"LSM",394.2897893388,2022-08-24
"113",2022,2022-08-24,0,"RTM",0.0000162591999999972,2022-08-24
"114",2022,2022-08-24,2.017537563,"UPM",0.9234480172,2022-08-24
"115",2022,2022-08-25,393.397829281,"LSM",393.0779961418,2022-08-25
"116",2022,2022-08-25,0,"RTM",0.00000812959999999722,2022-08-25
"117",2022,2022-08-25,0.581344789,"UPM",0.8202330692,2022-08-25
"118",2022,2022-08-26,380.503545056,"LSM",390.2234872428,2022-08-26
"119",2022,2022-08-26,0,"RTM",0.00000812959999999722,2022-08-26
"120",2022,2022-08-26,0.199416774,"UPM",0.8313156274,2022-08-26
"121",2022,2022-08-29,397.098219744,"LSM",388.1614226092,2022-08-29
"122",2022,2022-08-29,0,"RTM",-0.00000000000000000277555756156289,2022-08-29
"123",2022,2022-08-29,1.535438062,"UPM",0.9507507412,2022-08-29
"124",2022,2022-08-30,413.464543418,"LSM",396.6738452952,2022-08-30
"125",2022,2022-08-30,0,"RTM",-0.00000000000000000277555756156289,2022-08-30
"126",2022,2022-08-30,0.961711498,"UPM",1.0590897372,2022-08-30
"127",2022,2022-08-31,441.734271715,"LSM",405.2396818428,2022-08-31
"128",2022,2022-08-31,0,"RTM",-0.00000000000000000277555756156289,2022-08-31
"129",2022,2022-08-31,0.462886352,"UPM",0.748159495,2022-08-31
"130",2022,2022-09-01,450.315816919,"LSM",416.6232793704,2022-09-01
"131",2022,2022-09-01,0.000269901,"RTM",0.0000539801999999972,2022-09-01
"132",2022,2022-09-01,0.44289131,"UPM",0.7204687992,2022-09-01
"133",2022,2022-09-02,444.933158031,"LSM",429.5092019654,2022-09-02
"134",2022,2022-09-02,0,"RTM",0.0000539801999999972,2022-09-02
"135",2022,2022-09-02,1.732243461,"UPM",1.0270341366,2022-09-02
"136",2022,2022-09-06,452.867546269,"LSM",440.6630672704,2022-09-06
"137",2022,2022-09-06,0,"RTM",0.0000539801999999972,2022-09-06
"138",2022,2022-09-06,0.498561874,"UPM",0.819658899,2022-09-06
"139",2022,2022-09-07,414.637436834,"LSM",440.8976459536,2022-09-07
"140",2022,2022-09-07,0,"RTM",0.0000539801999999972,2022-09-07
"141",2022,2022-09-07,0.499600609,"UPM",0.7272367212,2022-09-07
"142",2022,2022-09-08,408.622358433,"LSM",434.2752632972,2022-09-08
"143",2022,2022-09-08,0,"RTM",0.0000539801999999972,2022-09-08
"144",2022,2022-09-08,0.576703068,"UPM",0.7500000644,2022-09-08
"145",2022,2022-09-09,404.551113358,"LSM",425.122322585,2022-09-09
"146",2022,2022-09-09,0,"RTM",-0.00000000000000000277555756156289,2022-09-09
"147",2022,2022-09-09,0.206822969,"UPM",0.7027863962,2022-09-09
"148",2022,2022-09-12,410.668214459,"LSM",418.2693338706,2022-09-12
"149",2022,2022-09-12,0,"RTM",-0.00000000000000000277555756156289,2022-09-12
"150",2022,2022-09-12,0.600072715,"UPM",0.476352247,2022-09-12
"151",2022,2022-09-13,384.427193539,"LSM",404.5812633246,2022-09-13
"152",2022,2022-09-13,0,"RTM",-0.00000000000000000277555756156289,2022-09-13
"153",2022,2022-09-13,2.114163207,"UPM",0.7994725136,2022-09-13
"154",2022,2022-09-14,392.46439655,"LSM",400.1466552678,2022-09-14
"155",2022,2022-09-14,0,"RTM",-0.00000000000000000277555756156289,2022-09-14
"156",2022,2022-09-14,0.253159706,"UPM",0.750184333,2022-09-14
"157",2022,2022-09-15,495.668816275,"LSM",417.5559468362,2022-09-15
"158",2022,2022-09-15,0,"RTM",-0.00000000000000000277555756156289,2022-09-15
"159",2022,2022-09-15,2.263996607,"UPM",1.0876430408,2022-09-15
"160",2022,2022-09-16,421.273505465,"LSM",420.9004252576,2022-09-16
"161",2022,2022-09-16,0.5,"RTM",0.1,2022-09-16
"162",2022,2022-09-16,0.628004887,"UPM",1.1718794244,2022-09-16
"163",2022,2022-09-19,407.920082583,"LSM",420.3507988824,2022-09-19
"164",2022,2022-09-19,0,"RTM",0.1,2022-09-19
"165",2022,2022-09-19,0.440744143,"UPM",1.14001371,2022-09-19
"166",2022,2022-09-20,425.763006531,"LSM",428.6179614808,2022-09-20
"167",2022,2022-09-20,0,"RTM",0.1,2022-09-20
"168",2022,2022-09-20,2.39001791,"UPM",1.1951846506,2022-09-20
"169",2022,2022-09-21,448.721227489,"LSM",439.8693276686,2022-09-21
"170",2022,2022-09-21,0,"RTM",0.1,2022-09-21
"171",2022,2022-09-21,0.779262564,"UPM",1.3004052222,2022-09-21
"172",2022,2022-09-22,435.078797226,"LSM",427.7513238588,2022-09-22
"173",2022,2022-09-22,0,"RTM",0.1,2022-09-22
"174",2022,2022-09-22,4.714797448,"UPM",1.7905653904,2022-09-22
"175",2022,2022-09-23,413.816985041,"LSM",426.260019774,2022-09-23
"176",2022,2022-09-23,0,"RTM",-0.00000000000000000277555756156289,2022-09-23
"177",2022,2022-09-23,0.414759312,"UPM",1.7479162754,2022-09-23
"178",2022,2022-09-26,451.750310134,"LSM",435.0260652842,2022-09-26
"179",2022,2022-09-26,0.1,"RTM",0.02,2022-09-26
"180",2022,2022-09-26,0.570377911,"UPM",1.773843029,2022-09-26
"181",2022,2022-09-27,445.584417119,"LSM",438.9903474018,2022-09-27
"182",2022,2022-09-27,0,"RTM",0.02,2022-09-27
"183",2022,2022-09-27,0.611667671,"UPM",1.4181729812,2022-09-27
"184",2022,2022-09-28,426.474728381,"LSM",434.5410475802,2022-09-28
"185",2022,2022-09-28,0,"RTM",0.02,2022-09-28
"186",2022,2022-09-28,2.328245632,"UPM",1.7279695948,2022-09-28
"187",2022,2022-09-29,543.730659073,"LSM",456.2714199496,2022-09-29
"188",2022,2022-09-29,0.000254754,"RTM",0.0200509508,2022-09-29
"189",2022,2022-09-29,2.154028754,"UPM",1.215815856,2022-09-29
